Number,Leader,Type,Status,longitude,latitude
67,Ward Shah,restore,busy,-76.1723,42.60322
68,Athol Insel,restore,busy,-76.1947,42.60616
69,Javad Rankin,restore,busy,-76.1575,42.59982
70,Lenwood Batty,investigate,busy,-76.1609,42.60085
71,Schaja Sturm,investigate,busy,-76.16202,42.60083
72,Ward Hawker,investigate,busy,-76.18378,42.60036
73,Q. Quaranta,investigate,busy,-76.18606,42.59977
74,Jarad Conrad,investigate,busy,-76.15486,42.77645
75,Javay Norwood,investigate,busy,-76.1756,42.60268
76,Lenwood Logan,restore,busy,-76.16137,42.59742
77,Ward Fostel,restore,busy,-76.17423,42.60116
78,Doris Simmons,restore,busy,-76.15994,42.59695
79,Cherlyn Matties,restore,busy,-76.16837,42.59727
80,Gertsel Janc,restore,busy,-76.19184,42.60639
81,Atina Gabbin,restore,busy,-76.17833,42.602
82,Javid Canada,restore,busy,-76.19314,42.60736
83,Tasman Aquirre,investigate,busy,-76.18525,42.60375
84,Mick Brik,investigate,busy,-76.18715,42.60282
85,Lenwood Shofer,restore,busy,-76.17483,42.60114
86,Dorithia Spriggs,investigate,idle,-76.18593,42.60282
87,Cherlynn Ford,investigate,busy,-76.18278,42.60382
88,Tasman Abbott,restore,busy,-76.17356,42.59768
89,Jarad Philpot,restore,busy,-76.18421,42.60196
90,Atina Tuggle,restore,busy,-76.18755,42.60193
91,Mick Gillmore,restore,busy,-76.18322,42.60205
92,Q. Lefkovitz,restore,busy,-76.24464,42.84254
93,Leo Brazerol,restore,busy,-76.19275,42.60206
94,Dorothea Samlinco,restore,busy,-76.12959,42.67235
95,Premier Bustillos,investigate,busy,-76.17559,42.60245
96,Ward Crosby,investigate,busy,-76.19407,42.6029
97,Javid Guan,restore,busy,-76.19571,42.60461
98,Mick Zollicoffer,restore,idle,-76.1661,42.60067
99,Leobardo Fromberg,restore,busy,-76.19581,42.60603
100,Presby Cooley,restore,busy,-76.07921,42.58994
101,Ward Bainder,investigate,busy,-76.18793,42.60415
102,Kelvin Castro,investigate,busy,-76.19305,42.6061
103,Jody Schecter,investigate,busy,-76.17186,42.6021
104,Javid Kosko,restore,busy,-76.02525,42.74188
105,Teodor Wingate,restore,busy,-76.18756,42.6033
106,Mickey Meiller,restore,busy,-76.18362,42.60739
107,Leobardo Hooks,restore,busy,-76.1753,42.59843
108,Wang Woodyard,restore,idle,-76.17043,42.59807
109,Javid Mostovoy,restore,idle,-76.20994,42.602
110,Mickey Woods,investigate,idle,-76.183,42.60207
111,Jarad Willett,investigate,busy,-76.18195,42.60459
112,Midas Luck,investigate,busy,-76.12196,42.74953
113,Q Baumer,investigate,busy,-76.17615,42.60418
114,Pzadik Whatley,investigate,busy,-76.16735,42.5975
115,Javid Reitze,investigate,busy,-76.13398,42.73226
116,Miguel Blumenfeld,restore,busy,-76.18668,42.60115
117,Leolia Biegacz,restore,busy,-76.19546,42.60242
118,Dorothy Tongue,restore,busy,-76.17791,42.59977
119,Scarlette Hardie,restore,busy,-76.18132,42.6078
120,Pzadik Kestenbaum,restore,busy,-76.19668,42.60306
121,Jarboe Salawitch,restore,busy,-76.18109,42.6031
